"idcalle","calle","localidad","departamento"
8305,"JOSE CAPARROZ","MONTEVIDEO","MONTEVIDEO"
8306,"JOSE PEDRO ARGUL","MONTEVIDEO","MONTEVIDEO"
8307,"JUAN A GUZMAN","MONTEVIDEO","MONTEVIDEO"
8308,"JUAN DANIEL JACKSON","MONTEVIDEO","MONTEVIDEO"
8309,"DOCTOR JUAN PAULLIER","MONTEVIDEO","MONTEVIDEO"
8310,"JULIAN LAGUNA","MONTEVIDEO","MONTEVIDEO"
8311,"JUNCAL","MONTEVIDEO","MONTEVIDEO"
8312,"LANCASTERIANA","MONTEVIDEO","MONTEVIDEO"
8313,"LANUS","MONTEVIDEO","MONTEVIDEO"
8314,"LIDO","MONTEVIDEO","MONTEVIDEO"
8315,"LUCERNA","MONTEVIDEO","MONTEVIDEO"
8316,"LUIS B CAVIA","MONTEVIDEO","MONTEVIDEO"
8317,"LUIS KOSSUTH","MONTEVIDEO","MONTEVIDEO"
8318,"MAIPU","MONTEVIDEO","MONTEVIDEO"
8319,"MAL ABRIGO","MONTEVIDEO","MONTEVIDEO"
8320,"BV DR MANUEL HERRERA Y OBES","MONTEVIDEO","MONTEVIDEO"
8321,"MARCONI","MONTEVIDEO","MONTEVIDEO"
8322,"MARIANO SAGASTA","MONTEVIDEO","MONTEVIDEO"
8323,"MAXIMO GOMEZ","MONTEVIDEO","MONTEVIDEO"
8324,"MIGUELETE","MONTEVIDEO","MONTEVIDEO"
8325,"MONTE CASEROS","MONTEVIDEO","MONTEVIDEO"
8326,"BALTASAR MONTERO VIDAURRETA","MONTEVIDEO","MONTEVIDEO"
8327,"NIÑA","MONTEVIDEO","MONTEVIDEO"
8328,"PALMAS Y OMBUES","MONTEVIDEO","MONTEVIDEO"
8329,"PANTALEON ARTIGAS","MONTEVIDEO","MONTEVIDEO"
8330,"PANTANOSO","MONTEVIDEO","MONTEVIDEO"
8331,"PASAJE BULGARIA - GIBRALTAR","MONTEVIDEO","MONTEVIDEO"
8332,"PASAJE DEL NORTE","MONTEVIDEO","MONTEVIDEO"
8333,"PIRIBEBUY","MONTEVIDEO","MONTEVIDEO"
8334,"POLICIA VIEJA","MONTEVIDEO","MONTEVIDEO"
8335,"PROFESOR CLEMENTE RUGGIA","MONTEVIDEO","MONTEVIDEO"
8336,"QUIJOTE","MONTEVIDEO","MONTEVIDEO"
8337,"RAMBLA CONCEPCION DEL URUGUAY","MONTEVIDEO","MONTEVIDEO"
8338,"RAMBLA REPUBLICA DE CHILE","MONTEVIDEO","MONTEVIDEO"
8339,"RANCAGUA","MONTEVIDEO","MONTEVIDEO"
8340,"ROCHA","MONTEVIDEO","MONTEVIDEO"
8343,"SANTA MONICA","MONTEVIDEO","MONTEVIDEO"
8344,"SENDA VEHICULAR UNO","MONTEVIDEO","MONTEVIDEO"
8345,"SIRIA","MONTEVIDEO","MONTEVIDEO"
8346,"MARIA STAGNERO DE MUNAR","MONTEVIDEO","MONTEVIDEO"
8347,"TALCAHUANO","MONTEVIDEO","MONTEVIDEO"
8348,"THOMPSON","MONTEVIDEO","MONTEVIDEO"
8349,"TIMOTE","MONTEVIDEO","MONTEVIDEO"
8350,"TRENTO","MONTEVIDEO","MONTEVIDEO"
8351,"URUGUAYANA","MONTEVIDEO","MONTEVIDEO"
8352,"VALENCIA","MONTEVIDEO","MONTEVIDEO"
8353,"VEINTICINCO DE MAYO","MONTEVIDEO","MONTEVIDEO"
8354,"VELSEN","MONTEVIDEO","MONTEVIDEO"
8355,"VENEZUELA","MONTEVIDEO","MONTEVIDEO"
8356,"VERDI","MONTEVIDEO","MONTEVIDEO"
8357,"VIRREY ELIO","MONTEVIDEO","MONTEVIDEO"
8358,"WILSON FERREIRA ALDUNATE","MONTEVIDEO","MONTEVIDEO"
8359,"ANDRES SPIKERMAN","MONTEVIDEO","MONTEVIDEO"
8360,"CAMBAY","MONTEVIDEO","MONTEVIDEO"
8361,"COMERCIO","MONTEVIDEO","MONTEVIDEO"
8362,"DOMINGO BAZZURRO","MONTEVIDEO","MONTEVIDEO"
8363,"HIPOLITO YRIGOYEN","MONTEVIDEO","MONTEVIDEO"
8364,"ING LUIS ANDREONI","MONTEVIDEO","MONTEVIDEO"
8365,"CANDIDO JOANICO","MONTEVIDEO","MONTEVIDEO"
8366,"JULIAN ALVAREZ","MONTEVIDEO","MONTEVIDEO"
8367,"PEDRO COSIO","MONTEVIDEO","MONTEVIDEO"
8368,"TENIENTE GENERAL PABLO GALARZA","MONTEVIDEO","MONTEVIDEO"
